A A-0-1-6,aeronautics-astronautics
ACCTG-01-1-2,business-administration
ACCTG-11-1-2,business-administration
ACMS-0-1-5,applied-computational-mathematical-sciences-acms
ACMS-10-1-5,applied-computational-mathematical-sciences-acms
ACMS-20-1-5,applied-computational-mathematical-sciences-acms
ACMS-30-1-5,applied-computational-mathematical-sciences-acms
ACMS-50-1-5,applied-computational-mathematical-sciences-acms
ACMS-70-1-5,applied-computational-mathematical-sciences-acms
ACMS-80-1-5,applied-computational-mathematical-sciences-acms
AES-0-1-1,aquatic-fisheries-sciences
AFS-0-1-5,aquatic-fishery-sciences
AIS-0-1-1,american-indian-studies
AMATH-0-1-5,applied-math
ARCH-0-1-1,architecture
ART H-0-1-1,art-history
ART-2-1-1,art
ASIALC-0-1-1,asian-languages-cultures
ASTR-0-1-5,astronomy
ATM S-1-1-5,atmospheric-sciences
ATM S-2-1-5,atmospheric-sciences
ATM S-20-1-5,atmospheric-sciences
ATM S-3-1-5,atmospheric-sciences
B A-0-1-2,business-administration
B BIO-0-1-5,biology
B BUS-0-1-2,business-administration
B BUS-10-1-2,business-administration
B BUS-20-1-2,business-administration
B BUS-25-1-2,business-administration
B BUS-30-1-2,business-administration
B BUS-35-1-2,business-administration
B BUS-40-1-2,business-administration
B BUS-45-1-2,business-administration
B BUS-5-1-2,business-administration
B CHEM-0-1-1,chemistry
B CHEM-0-1-5,chemistry
B CHEM-10-1-5,chemistry
B ENST-0-1-1,environmental-studies
B GWSS-0-1-1,gender-women-sexuality-studies
B MATH-0-1-5,mathematics
B ME-0-1-6,mechanical-engineering
B NURS-0-1-6,nursing
B PHYS-0-1-1,physics
B PHYS-0-1-5,physics
B PSY-0-1-1,psychology
BFYBSN-0-1-6,nursing
BIOCHM-0-1-1,biochemistry
BIOCHM-0-1-5,biochemistry
BIOEN-0-1-6,bioengineering
BIOEN-60-1-6,bioengineering
BIOEN-80-1-6,bioengineering
BIOL-15-1-5,biology
BIOL-30-1-5,biology
BIOL-35-1-5,biology
BIOL-40-1-5,biology
BIOL-45-1-5,biology
BIOL-5-1-1,biology
BSE-0-1-5,bioresource-science-engineering
BSE-10-1-5,bioresource-science-engineering
C SCI-0-1-5,computer-science
C SCI-10-1-5,computer-science
CEP-0-1-1,community-environment-planning
CFRM-1-1-5,computational-finance-risk-management
CHEM E-0-1-6,chemical-engineering
CHEM E-5-1-6,chemical-engineering
CHEM-0-1-1,chemistry
CHEM-0-1-5,chemistry
CHEM-10-1-5,chemistry
CHID-0-1-1,comparative-history-of-ideas
CIV E-0-1-6,civil-engineering
CLAS-0-1-1,classics
CM-0-1-6,construction-management
CM-50-1-6,construction-management
CMP E-0-1-6,computer-engineering
CMS-0-1-1,cinema-media-studies
COM-0-1-1,communication
COM-30-1-1,communication
DANCE-0-1-1,dance
DESIGN-25-1-7,design
DESIGN-32-1-7,design
DESIGN-5-1-7,design
DRAMA-0-1-1,drama
DRAMA-60-1-1,drama
DRAMA-70-1-1,drama
ECE-0-1-1,early-childhood-family-studies
ECENG-0-1-6,electrical-and-computer-engineering
ECFS-0-1-1,early-childhood-family-studies
ECFS-10-1-1,early-childhood-family-studies
ECO-0-1-1,education-communities-organizations
ECON-0-1-1,economics
ECON-0-1-5,economics
ENGL-0-1-1,english
ENGL-20-1-1,english
ENTRE-01-1-2,business-administration
ENV E-0-1-6,environmental-engineering
ENV H-0-1-5,environmental-health
ENVIR-0-1-1,environmental-studies
ESRM-0-1-5,environmental-science-terrestrial-resource-management
ESRM-10-1-5,environmental-science-terrestrial-resource-management
ESRM-20-1-5,environmental-science-terrestrial-resource-management
ESRM-30-1-5,environmental-science-terrestrial-resource-management
ESRM-40-1-5,environmental-science-terrestrial-resource-management
ESS-0-1-1,earth-space-sciences
ESS-10-1-5,earth-space-sciences
ESS-20-1-5,earth-space-sciences
ESS-30-1-5,earth-space-sciences
ESS-50-1-5,earth-space-sciences
EURO-0-1-1,international-studies
FINANC-01-1-2,business-administration
FRENCH-0-1-1,french
FSNH-0-1-1,food-systems-nutrition-health
GEOG-0-1-1,geography
GEOG-10-1-1,geography
GERMAN-01-1-1,german
GWSS-0-1-1,gender-women-sexuality-studies
HCDE-0-1-6,human-centered-design-engineering
HCDE-15-1-6,human-centered-design-engineering
HCDE-5-1-6,human-centered-design-engineering
HIST-0-1-1,history
HIST-30-1-1,history
HIST-40-1-1,history
HIST-50-1-1,history
HIST-60-1-1,history
HRMGT-01-1-2,business-administration
I S-01-1-2,business-administration
IND+E-0-1-6,industrial-systems-engineering
INFO-0-1-6,informatics
INFO-10-1-6,informatics
INFO-20-1-6,informatics
INFO-30-1-6,informatics
INFO-40-1-6,informatics
INFO-50-1-6,informatics
ITAL-0-1-1,italian
L ARCH-0-1-7,landscape-architecture
LING-0-1-1,linguistics
LSJ-0-1-1,law-societies-justice
M E-0-1-6,mechanical-engineering
M E-5-1-6,mechanical-engineering
M E-60-1-6,mechanical-engineering
M E-95-1-6,mechanical-engineering
MARBIO-0-1-5,marine-biology
MATH-0-1-1,mathematics
MATH-0-1-5,mathematics
MATH-10-1-1,mathematics
MATH-70-1-1,mathematics
MICRO-0-1-5,microbiology
MKTG-01-1-2,business-administration
MLS-0-1-6,medical-laboratory-science
MS E-0-1-6,materials-science-engineering
MS E-70-1-6,materials-science-engineering
MUSIC-0-1-1,music
MUSIC-10-1-1,music
MUSIC-30-1-7,music
MUSIC-40-1-7,music
MUSIC-58-1-1,music
MUSIC-60-1-1,music
MUSIC-62-1-1,music
MUSIC-64-1-1,music
MUSIC-66-1-7,music
MUSIC-67-1-7,music
MUSIC-68-1-1,music
NBIO-0-1-5,neuroscience
NEAR E-20-1-1,near-eastern-languages-civilization
NEAR E-30-1-1,near-eastern-languages-civilization
NEAR E-50-1-1,near-eastern-languages-civilization
NURS-0-1-6,nursing
NURSX-0-1-6,nursing
OCEAN-0-1-1,oceanography
OCEAN-0-1-5,oceanography
OSCM-01-1-2,business-administration
PH-0-1-1,public-health
PH-0-1-5,public-health
PH-10-1-5,public-health
PH-20-1-1,public-health
PH-30-1-1,public-health
PH-30-1-5,public-health
PHIL-0-1-1,philosophy
PHIL-20-1-1,philosophy
PHYS-1-1-5,physics
PHYS-2-1-5,physics
PHYS-3-1-5,physics
PHYS-4-1-5,physics
POL S-0-1-1,political-science
POL S-70-1-1,political-science
POL S-80-1-1,political-science
PSYCH-0-1-1,psychology
PSYCH-0-1-5,psychology
R E-0-1-5,real-estate
RUSS-0-1-1,slavic-languages-literatures
SCAN+A-0-1-1,scandinavian-studies
SISA-0-1-1,international-studies
SISCA-0-1-1,international-studies
SISJE-0-1-1,international-studies
SISLA-0-1-1,international-studies
SOC WF-0-1-1,social-welfare
SOC-0-1-1,sociology
SPAN-0-1-1,spanish
SPHSC-0-1-5,speech-hearing-sciences
SPHSCX-0-1-5,speech-hearing-sciences
STAT-0-1-5,statistics
STAT-15-1-5,statistics
T ACCT-0-1-2,business-administration
T BUS-0-1-2,business-administration
T FIN-0-1-2,business-administration
T HIST-0-1-1,history
T HIST-40-1-1,history
T HIST-50-1-1,history
T HIST-60-1-1,history
T HIST-70-1-1,history
T ME-0-1-6,mechanical-engineering
T MGMT-0-1-2,business-administration
T MKTG-0-1-2,business-administration
T NURS-0-1-6,nursing
TMATH-0-1-5,mathematics
TPSYCH-0-1-1,psychology
TSOCWF-0-1-1,social-welfare
