course,dept_abbr,course_no
A S101,A S,101
ACCTG215,ACCTG,215
ACCTG225,ACCTG,225
ART140,ART,140
ART190,ART,190
ASTR101,ASTR,101
ASTR102,ASTR,102
ASTR150,ASTR,150
ATM S111,ATM S,111
B BIO180,B BIO,180
B BUS210,B BUS,210
B BUS215,B BUS,215
B BUS220,B BUS,220
B CHEM115,B CHEM,115
B CHEM139,B CHEM,139
B CHEM144,B CHEM,144
B CUSP200,B CUSP,200
B CUSP201,B CUSP,201
B MATH121,B MATH,121
B MATH122,B MATH,122
B MATH123,B MATH,123
B PHYS121,B PHYS,121
B WRIT132,B WRIT,132
B WRIT133,B WRIT,133
B WRIT134,B WRIT,134
B WRIT135,B WRIT,135
BIO A101,BIO A,101
BIOEN215,BIOEN,215
BIOL118,BIOL,118
BIOL180,BIOL,180
BIOL200,BIOL,200
BIOL220,BIOL,220
BIS170,BIS,170
CHEM110,CHEM,110
CHEM120,CHEM,120
CHEM142,CHEM,142
CHEM143,CHEM,143
CHEM145,CHEM,145
CHEM152,CHEM,152
CHEM153,CHEM,153
CHEM155,CHEM,155
CHEM162,CHEM,162
CHEM237,CHEM,237
COM220,COM,220
CSE142,CSE,142
CSE143,CSE,143
CSS142,CSS,142
DANCE102,DANCE,102
DESIGN166,DESIGN,166
ECON200,ECON,200
ECON201,ECON,201
EDUC215,EDUC,215
ENGL109,ENGL,109
ENGL110,ENGL,110
ENGL111,ENGL,111
ENGL121,ENGL,121
ENGL131,ENGL,131
ENGL182,ENGL,182
ENGL197,ENGL,197
ENGL198,ENGL,198
ENGL199,ENGL,199
ENGL298,ENGL,298
ENVIR100,ENVIR,100
ESS100,ESS,100
ESS101,ESS,101
HONORS205,HONORS,205
HUM101,HUM,101
HUM102,HUM,102
HUM103,HUM,103
INFO201,INFO,201
JAPAN101,JAPAN,101
KOREAN101,KOREAN,101
LING200,LING,200
MATH102,MATH,102
MATH103,MATH,103
MATH111,MATH,111
MATH112,MATH,112
MATH120,MATH,120
MATH124,MATH,124
MATH125,MATH,125
MATH126,MATH,126
MATH134,MATH,134
MATH135,MATH,135
MATH136,MATH,136
MATH207,MATH,207
MATH208,MATH,208
MATH307,MATH,307
MATH308,MATH,308
MUSIC116,MUSIC,116
MUSIC120,MUSIC,120
N SCI101,N SCI,101
NUTR200,NUTR,200
PHYS101,PHYS,101
PHYS114,PHYS,114
PHYS121,PHYS,121
PHYS122,PHYS,122
PHYS123,PHYS,123
PHYS141,PHYS,141
PSYCH101,PSYCH,101
PSYCH202,PSYCH,202
PSYCH209,PSYCH,209
QMETH201,QMETH,201
SPAN301,SPAN,301
SPAN302,SPAN,302
SPAN314,SPAN,314
SPAN315,SPAN,315
STAT220,STAT,220
STAT221,STAT,221
STMATH124,STMATH,124
STMATH125,STMATH,125
STMATH126,STMATH,126
T CORE101,T CORE,101
TMATH109,TMATH,109
TMATH120,TMATH,120
TMATH124,TMATH,124
TPSYCH101,TPSYCH,101
TWRT120,TWRT,120
TWRT121,TWRT,121
